STATE	LOCALITY_PID	POSTCODE	LOCALITY_NAME	LONGITUDE	LATITUDE
ACT	loc537c3f114213	2612	REID	149.1411897	-35.28259189
NSW	loc3dae53eb747f	2168	HECKENBERG	150.88981396	-33.90827048
NSW	loca0ae4f890338	2880	MILPARINKA	141.57198345	-29.89348889
NSW	locb11c6a7efcd0	2754	THE SLOPES	150.7059975	-33.53202262
NSW	locb3319b538f30	2551	BOYDTOWN	149.87331145	-37.10707639
NSW	loc8c852d1bde4b	2105	LOVETT BAY	151.2804734	-33.63133024
NSW	loca3efde106bdb	2577	WERAI	150.36539345	-34.61101267
NSW	loca50e32cfe7a8	2787	OBERON	149.84954129	-33.69128448
NSW	loca53ca9714d96	2287	FLETCHER	151.64119129	-32.87175883
NSW	loca647a4aade8e	2120	THORNLEIGH	151.08201354	-33.72369728
NSW	loca690f07a8444	2460	COUTTS CROSSING	152.89572536	-29.85804938
NSW	loca69ebc0d2e59	2449	GIRRALONG	152.64312619	-30.56268934
NSW	loca72dd136b1fe	2478	SKENNARS HEAD	153.5894745	-28.83290505
NSW	loca73b2c3ec2c6	2388	PILLIGA	148.80032727	-30.38393276
NSW	loc6f49793fd25a	2480	LISMORE HEIGHTS	153.30074483	-28.80299846
NSW	loc7076cb94f20c	2570	ORANGEVILLE	150.59484944	-34.02979761
NSW	loc70b518ffa0fc	2580	ROSLYN	149.6373327	-34.49717322
NSW	loc71c031b4eef7	2257	ST HUBERTS ISLAND	151.34437862	-33.49203877
NSW	loc7515c3d939f0	2259	MOONEE	151.62122128	-33.1712386
NSW	loc75d2c85cb164	2529	OAK FLATS	150.82192288	-34.56233136
NSW	locae451a4e9fcf	2570	BROWNLOW HILL	150.64441426	-34.04216147
NSW	locaee409ddf267	2200	BANKSTOWN AERODROME	150.98866082	-33.92260849
NSW	locaf2c2b35b954	2646	SAVERNAKE	146.01784107	-35.74500089
NSW	locd46926489609	2622	KRAWARREE	149.61335436	-35.76176381
NSW	locd50518ec9bcd	2480	NORTH LISMORE	153.28174163	-28.78713168
NSW	locd50c3b2bd82b	2460	WOMBAT CREEK	152.75739304	-29.51595938
NSW	locd51aabc51628	2340	DUNGOWAN	151.16263169	-31.2278872
NSW	locd53dc2c875ec	2758	KURRAJONG	150.70215243	-33.50368985
NSW	locf0a2ba0399ff	2480	STONY CHUTE	153.16210784	-28.58315453
NSW	locf3f7473c47f5	2360	GUM FLAT	150.92581413	-29.79304529
NSW	locf49f8d0219eb	2568	MENANGLE	150.721331	-34.13749231
NSW	loc7e808345aa40	2526	KEMBLA GRANGE	150.79839947	-34.46772247
NSW	loc7f5de7820bd4	2483	OCEAN SHORES	153.53407143	-28.50988341
NSW	locb37ac6914819	2357	DANDRY	149.40314487	-31.00808828
NSW	locb376f4a11b1c	2711	MAUDE	144.19007507	-34.48972688
NSW	locddd3db7bb84e	2164	WETHERILL PARK	150.89923668	-33.84269732
NSW	locb2274527d863	2446	LOWER PAPPINBARRA	152.58923134	-31.41703406
NSW	locb23018b2b79a	2372	RIVERTREE	152.26595346	-28.65721191
NSW	locb2683140c1e4	2898	LORD HOWE ISLAND	159.07684025	-31.55332745
NSW	loc9e9b3923755c	2290	BENNETTS GREEN	151.69820309	-32.99959508
NSW	loc76dbc4819074	2758	KURRAJONG HILLS	150.65549236	-33.52259599
NSW	loc7717228c2c4b	2337	STEWARTS BROOK	151.32229229	-32.03031868
NSW	loc774036677172	2446	HUNTINGDON	152.65361587	-31.47066778
NSW	loc9af3e6c26f84	2830	WAMBANGALANG	148.50084275	-32.56140598
NSW	loc9af780465a42	2480	MAROM CREEK	153.36344864	-28.91705387
NSW	loc9b09590f71c7	2506	BERKELEY	150.84320291	-34.4786434
NSW	loc9b2eec1d0948	2087	FORESTVILLE	151.21108607	-33.75998849
NSW	loc9bf72f8b2290	2440	CLYBUCCA	152.94442208	-30.93651149
NSW	loc9c1cc40e274f	2259	CRANGAN BAY	151.59515875	-33.16841565
NSW	locbde2f64423a6	2262	BUDGEWOI	151.55989843	-33.23817186
NSW	locafb765cbd3da	2750	SOUTH PENRITH	150.69882159	-33.77349512
NSW	loc16265053cf7e	2550	NELSON	149.9582882	-36.66769417
NSW	loc1646755e7567	2343	BLACKVILLE	150.25281692	-31.62992807
NSW	loc16b45c5915a1	2315	CORLETTE	152.11410181	-32.72418644
NSW	loc1723091e1e2c	2830	BALLIMORE	148.90108017	-32.17728183
NSW	loc1767f8f3c12f	2830	TOONGI	148.57751062	-32.48017829
NSW	loc1773bd5ec318	2460	CHAMBIGNE	152.74439437	-29.76140065
NSW	loc1791e0bc73bb	2340	SOMERTON	150.62709486	-30.93908104
NSW	loccb3b777454c5	2121	NORTH EPPING	151.0941051	-33.7586596
NSW	loca3fc6d17e02a	2177	BONNYRIGG HEIGHTS	150.86993183	-33.89119479
NSW	locdaa1b69ae3de	2168	BUSBY	150.88068759	-33.9112268
NSW	loc1ab2dba0fc23	2795	TANNAS MOUNT	149.6409489	-33.61755898
NSW	loc1ab93fcd558a	2429	TIPPERARY	152.15832944	-32.05749088
NSW	loc1ad25c8ebb8f	2820	BAKERS SWAMP	148.93328589	-32.77151942
NSW	loc1b4996ed60ba	2632	COOLUMBOOKA	149.33913307	-36.91929372
NSW	loc1b7b4e2408b3	2850	GALAMBINE	149.51932681	-32.44880674
NSW	loc1c90722ea7f9	2315	NELSON BAY	152.13910062	-32.73547335
NSW	loc1cc64febd1c7	2850	GRATTAI	149.49394642	-32.66866719
NSW	loca7c3cc1355d8	2350	DANGARSLEIGH	151.6846973	-30.62894557
NSW	loca849af10776c	2168	HINCHINBROOK	150.86346007	-33.91817649
NSW	loccd51b7d11410	2540	CALLALA BAY	150.71960034	-34.99076745
NSW	loccde3a35d8861	2300	NEWCASTLE EAST	151.78985359	-32.92662776
NSW	loccdf20f44ddf1	2580	TARALGA	149.78736699	-34.4003231
NSW	locce284ca53ab5	2077	WAITARA	151.10596136	-33.70925793
NSW	locce3587813ac3	2390	KAPUTAR	150.13377059	-30.30475999
NSW	locceed067c2b85	2324	TEA GARDENS	152.15715545	-32.61895121
NSW	loccf192cf69fab	2077	HORNSBY	151.09590751	-33.69798226
NSW	loc766fade40b34	2460	SHANNONDALE	152.83328639	-29.80116827
NSW	loc483cbd6a339e	2529	FLINDERS	150.84617013	-34.5807088
NSW	locc6b3dea0ab73	2460	RUSHFORTH	152.85720371	-29.74287005
NSW	locc6ecf753b79e	2820	STUART TOWN	149.0468774	-32.83229882
NSW	loc52b56e59c73d	2264	SILVERWATER	151.55816573	-33.10310591
NSW	loc53b1b7a9819a	2028	DOUBLE BAY	151.24382505	-33.87777668
NSW	loc5478800bd6aa	2131	ASHFIELD	151.12617753	-33.88871498
NSW	loc54f1d14fba10	2550	COOPERS GULLY	149.79785085	-36.64752614
NSW	loc01d47ed99928	2464	ANGOURIE	153.35614854	-29.47300289
NSW	loc01ebfaaed97d	2330	BULGA	150.98289488	-32.63854729
NSW	loc031ff1af63b8	2280	BELMONT NORTH	151.67225315	-33.01698829
NSW	loc2a391e235474	2786	MOUNT VICTORIA	150.24732692	-33.57630063
NSW	loc2af019885f37	2550	NUMBUGGA	149.7194604	-36.62786222
NSW	loc2af6b0f22f61	2360	COPETON	150.92154902	-29.8753699
NSW	loc2b7527b21815	2840	HUNGERFORD	144.61578171	-29.1708464
NSW	locb2bff3e8aa6e	2456	SAFETY BEACH	153.19417212	-30.09295082
NSW	locb30dbc00d661	2795	O'CONNELL	149.73764315	-33.55442288
NSW	locb436e85e9987	2720	LACMALAC	148.31591547	-35.31014197
NSW	locd3822d4836d7	2283	BLACKALLS PARK	151.57974701	-32.99891478
NSW	locd4be8f7a35a3	2681	YENDA	146.22544505	-34.22650231
NSW	locd5f369ba88a9	2581	CULLERIN	149.35639147	-34.780868
NSW	locda922881cbef	2453	CASCADE	152.78379012	-30.22838309
NSW	locdb12d236a23c	2844	DUNEDOO	149.38278516	-32.01982677
NSW	locdc149a0f2b20	2795	ABERCROMBIE	149.55643942	-33.38996292
NSW	locdc4368f73701	2550	BUCKAJO	149.7606975	-36.69278161
NSW	locdc8df929e9de	2100	BEACON HILL	151.25841668	-33.75240719
NSW	locdcccf9bc92c1	2226	COMO	151.06431619	-34.0020911
NSW	locdd1bf725ba29	2399	BINIGUY	150.14491934	-29.57759523
NSW	locdd2b578b5ca9	2527	CALDERWOOD	150.72917546	-34.55932215
NSW	loc5d4abb06f103	2711	KERI KERI	143.98366046	-34.77430474
NSW	loc09ed4fd4570c	2113	MACQUARIE PARK	151.12700332	-33.78019981
NSW	loc0a254e861042	2170	CASULA	150.89938781	-33.95248703
NSW	loc0bb5d1da1d8e	2446	BROMBIN	152.63286666	-31.45708351
NSW	loc0be23ff6d037	2446	FRAZERS CREEK	152.61658661	-31.39934255
NSW	loc0c4b1daabf49	2372	CARROLLS CREEK	152.09250332	-28.83288961
NSW	loc0c85e574b42d	2453	NORTH DORRIGO	152.68077685	-30.26705078
NSW	loc0d38e11813ea	2441	TAMBAN	152.81627739	-30.88696364
